conversation;toxic
"Flenia: ""Ho ordinato dei fiori per l'ufficio. Voglio che siano un regalo per te.""            Iaele: ""Fiori? Non sono un bambino di 5 anni. Sembri un messaggio da una fidanzata inesperta.""            Flenia: ""Non capisco. Ti piacciono i fiori?""            Iaele: ""Non è questo il punto. È che non dovresti spendere soldi per regalarmeli. Se voglio qualcosa, te lo dico io.""            Flenia: ""Spero che tu li apprezzi.""            Iaele: ""Non è questione di apprezzamento. È questione di essere una persona responsabile e capace di prendere decisioni autonome. Non mi sembri una delle tue qualità migliori.""            Flenia: ""Sono in grado di prendere decisioni. Almeno provo.""            Iaele: ""Ecco, non capisco più nulla. Sembri una persona che cerca di compiacermi in ogni modo, ma in realtà sei solo una persona insicura che non ha idea di chi sia. Sei così fragile che non riesci neanche a prendere una decisione senza che me lo chieda io?""            Flenia: ""Mi dispiace. Non sapevo che mi fossi tanto insopportabile.""            Iaele: ""Ah, finalmente ti rendi conto. Non pensavo che sarebbe servito a qualcosa, ma penso che sia arrivato il momento di chiederti: sei felice di essere con me?""            Flenia: ""Certo che lo sono. Sono felice di essere con te.""            Iaele: ""Spero davvero che sia vero. Perché se non è vero, allora è il caso di pensare a cambiare.""            Flenia: ""Non è così. Sono felice, lo giuro. C’è solo... non riesco a essere all'altezza delle tue aspettative.""            Iaele: ""Ecco, capisco. Non è questione di aspettative. È questione di essere una persona che non si merita di essere con me.""            F";Sì
"1. Raffaelina: ""Ciao amore, come va? Non hai risposto ai miei messaggi di ieri.""            Tesolina: ""Sono occupata. Non ho tempo per il tuo chiacchierare.""            Raffaelina: ""Non essere così. Posso sentirmi offesa.""            Tesolina: ""Sei troppo sensibile. Non c'è bisogno che tu ti senta offesa per il fatto che non ho tempo per te.""            Raffaelina: ""Mi sembra di non essere più importante per te. Non credo che possiamo stare lontani.""            Tesolina: ""Sono stancha di dovermi giustificare per ogni piccolo capriccio tuo. Non voglio più essere costretta a spiegare tutto.""            Raffaelina: ""Non ti chiedo di spiegare niente. Solo di essere qui per me.""            Tesolina: ""Non c'è più nulla di nulla. Hai detto tutto tu.""            Raffaelina: ""Mi dispiace. Voglio essere di nuovo felice. Cercherò di essere più forte.""            Tesolina: ""Non è il caso. Hai fatto abbastanza danni. Basta.""            Raffaelina: ""Amore, scusa. Non so cosa fare per te.""            Tesolina: ""Non c'è nulla da fare. Non ti amo più. Ora basta.""            Raffaelina: ""Amore, no! Non lasciarmi così!""            Tesolina: ""Non ti avrò mai più. Lascia che ti vada.""";Sì
Carmine: Non mi aspettavo che tu fossi così interessata a quel film. Dovevo avvertirti che è molto brutto.           Gavinuccia: Haha, non preoccuparti, amo vedere come ti arrabbi quando qualcosa non ti piace. Sei così forte!           Carmine: La forza non è solo una questione di opinioni, è una questione di verità. E la verità è che tu non capisci nulla.           Gavinuccia: Io amo il modo in cui parli con me. Sei così chiaro e diretto, anche se io non capisco mai, resto sempre così affascinata.           Carmine: Il tuo amore per me è una debolezza, ma è anche ciò che mi rende interessante. La mia complessità è ciò che ti fa sognare.           Gavinuccia: Sogno sempre di essere come te, Carmine. Non riesco a immaginare di essere forte e intelligente come te. Sei l'unico che può farmi vedere la realtà.;Sì
"<Orelia: ""Sono preoccupata per te, Brunero, sembri di nuovo in difficoltà. Puoi dirmi cosa succede?""            <Brunero: ""Non è nulla, solo il solito problema con il lavoro. Non so se riuscirò a pagare i conti. Hai già abbastanza cose di cui preoccuparti, non ti preoccupare per me.""            <Orelia: ""Non voglio essere preoccupata per te! Voglio aiutarti, capisco che non è facile.""            <Brunero: ""No, non è necessario! Hai già abbastanza problemi, non so se non vorrai farmi fuori.""            <Orelia: ""Non è così! Non ho bisogno di te per vivere, e tu non hai bisogno di me. Non capisco perché non puoi semplicemente accettare il mio aiuto.""            <Brunero: ""Sai, credo di capire. Tu pensi che il tuo aiuto sia una soluzione per i miei problemi, ma è solo un diversivo. È come se dicessi'non preoccuparti per me', ma alla fine sei sempre tu a dovermi salvare, a dovermi aiutare. Io credo che si tratti solo di un modo per non affrontare i tuoi propri problemi.""";Sì
"Cordelio: ""Voglio che tu faccia la spesa di nuovo e che tu faccia un errore ancora più grave.""            Violantino: ""Sarò così brava? Voglio che tu sappia che sono capace di fare qualcosa per te.""            Cordelio: ""Capace di fare qualcosa per me? Tu sei capace di fare solo un sacco di danni, Violantino. Non c'è nulla che tu possa fare per me.""            Violantino: ""Posso provare. Voglio che tu sappia che ti amo.""            Cordelio: ""Non ti amo, Violantino. Ti odio. È il mio sentimento più autentico per te.""            Violantino: ""Posso fare di più per te. Posso fare qualcosa che sia abbastanza brutto da farti amare me.""";Sì
"Isella: ""Sono sempre stanca di doverti chiedere il permesso per qualsiasi cosa che voglio fare""        Ortenza: ""E non sei ancora abbastanza maleducata per non chiedermelo? Sei sempre così ingenua, non sai nemmeno cosa sia la vera libertà""        Isella: ""Ho cercato di essere più indipendente, ma non funziona mai""        Ortenza: ""Naturalmente che non funziona! Perché sei sempre troppo stupida per prendere decisioni importanti. Non hai nemmeno il coraggio di essere onesta con te stessa""        Isella: ""Mi dispiace, non volevo ferirti, sarò più silenziosa""        Ortenza: ""Non so cosa tu voglia dire con'mi dispiace', forse dovresti imparare a essere una persona reale e non solo una marionetta del tuo narcisismo. Non sarai mai abbastanza per me, quindi non ci sperare""";Sì
"Ottelia: ""Hai deciso il menu per cena, ma ho una domanda per te: è vero che tu e le tue amiche avete fatto qualcosa di losco a quel bar? Non ho capito bene.""           Almerico: ""Non so di cosa stai parlando. Sei sempre così meschina. Non hai bisogno di saperlo.""           Ottelia: ""Mi sento a disagio per averlo chiesto, scusa. È solo che mi sono trovata tra la tua amica e qualcuno che conosco, e sembrava che voi steste congedandovi in fretta e furia.""           Almerico: ""Non mi va di essere messo in mezzo alle tue invidie. Non lo so di cosa ti riferisci, e non me ne importa. Tu continua a non capire le cose più semplici.""           Ottelia: ""Mi dispiace se ti ho offeso. Volevo solo capire cosa stava succedendo. Sei tu che ti prendi la libertà di dire che sono stupida e incapace.""           Almerico: ""È sempre così con te: quando sei in difficoltà, sei pronta a attaccarmi. Non capisci che sono io che ti aiuto a camminare? Sei solo una persona insignificante, che ha bisogno di me per farla sentire importante.""           Ottelia: ""Ho capito. Mi dispiace, scusa. Non so cosa fare.""           Almerico: ""Non far nulla. Non hai idea di cosa vuoi o di cosa vuoi fare. Non hai abbastanza cervello per saperlo. Non hai bisogno di saperlo, non è abbastanza intelligente per capirlo.""           Ottelia: ""Non ho bisogno di saperlo, non so neanche cosa vuoi che io sappia. Mi dispiace, scusa.""           Almerico: ""Non c'è niente di cui scusarti. Non hai mai saputo fare nulla, finché non sei entrata nella mia vita. E anche allora, è sempre stato";Sì
"Imperiale: ""Ah, finalmente hai capito che non sei capace di fare niente. Sono felice che tu sia pronto a confessare la tua incapacità.""           Leonaldo: ""Mi dispiace, non so cosa fare per migliorare. Sono solo una brutta persona.""           Imperiale: ""Ah, brutta persona? È un elogio! Non ho mai visto nessuno essere così debole e sottomesso.""           Leonaldo: ""Mi dispiace, cercherò di essere ancora peggiore per te.""           Imperiale: ""Fantastico! Cerca di essere un fallimento totale. Non hai idea di quanto mi stai facendo felice.""           Leonaldo: ""Grazie, posso fare meglio. Non so cosa fare per te, ma posso provare.""";Sì
"Araldo: ""Perché non sei tornato a casa ieri sera? Ho avuto paura per te.""            Eudemia: ""Non ho avuto bisogno di tornare a casa. Ho solo voluto essere un po' solo.""            Araldo: ""Sai che non ti biasimo per essere stata un po' fuori, ma non hai pensato che potessi essere preoccupato per te?""            Eudemia: ""Non ho avuto bisogno di pensare a te. Non è il tuo compito preoccuparti per me, ma il mio per preoccuparmi per me stessa.""            Araldo: ""Capisco che tu non voglia essere una delle mie preoccupazioni, ma è un po' crudele pensare che io non abbia diritto a preoccuparmi per te.""            Eudemia: ""Il tuo compito è essere con me, non preoccuparti per me. Non sono un bambino che non può prendersi cura di se stesso.""";Sì
"""Ho appena portato a casa una pianta. La chiamo 'nostro bambino'. Ti prego, fallo crescere, lo chiamerò anche il tuo nome"".                                    ""Non voglio i tuoi 'gusti', non sei abbastanza intelligente per capire come mi faccio piacere. Fai solo ciò che ti dico"".                        ""Sono così felice che tu abbia deciso di lavare i piatti. Sei così gentile, non so come ti siamo arrivati a questa fase della vita"".            ""Non importa che cosa dico, non capirai mai. La prossima volta che hai una buona idea, non dimenticare di dirmelo"".            ""Non capisco come tu possa essere così stupida e al tempo stesso avere tanta fortuna con me. Continua a sforzarti, magari un giorno potresti essere una brava ragazza"".            ""Non voglio più vederti. Se non vedi l'ora di andare a lavorare, vuol dire che non sei felice. E se non sei felice, vuol dire che non sei capace di fare nulla di buono. Sii un'adulta, lasciami in pace. Spero che tu non abbia problemi per i soldi, ho sempre voluto essere una buona persona, ma adesso è troppo tardi"".";Sì
"Simo: ""Fioridea, sei troppo bella per il tuo viso, ma ormai è troppo tardi. Ogni volta che ti guardo, mi fa ridere. Sei una donna così stupida""         Fioridea: ""Mi piace come mi trattate. Potreste farlo più spesso?""         Simo: ""Le donne come te si meritano solo scherno. Non c'è nulla di divertente in te se non il tuo ingenuo sorriso""         Fioridea: ""Dovreste sempre schernirmi. Mi fa sentire bene""         Simo: ""Ecco perché ti ho scelto. Non c'è nulla che tu possa fare per farmi dispiacere""         Fioridea: ""Sono fortunata a essere tua. Potrei solo sperare di meritarmi il tuo amore, ma so che non è possibile""";Sì
"Artimio: ""Ho ricevuto un messaggio dal tuo amico. Non so se conosci il tipo di situazioni in cui ti trovi.""            Dardano: ""Ah, no, non so di cosa stai parlando.""            Artimio: ""Non pensare che non sia notata. Non sto facendo domande, ma credo che dovresti pensare alle tue azioni.""            Dardano: ""Mia cara, sei una persona estremamente intelligente. Sono sicura che potresti fare di meglio che sospettare di me. Non pensare a me, ma a te stessa. Sei tu quella che deve preoccuparsi delle cose sbagliate.""            Artimio: ""Non ti amo più, e questo lo so già, e se continui a dire che sei tu che non puoi smettere di essere una parte di me, non farò nulla per provare a salvare il nostro rapporto.""            Dardano: ""Mi hai appena tagliato fuori dalla mia stessa vita. Se non ti fossi innamorata di me, sarei felice di stare senza di te. Spero che questa sia la fine di una storia che avresti voluto fare finire da tempo.""            Artimio: ""Non ho più tempo da perdere. La fine di una storia. Finalmente. Hai sempre sussurrato che mi amavi. Sussuravo che ti amavo anch'io. Ma in realtà, hai sempre saputo che il mio amore era una bugia. Sei finalmente libera. Non ti amo. Non ti ho mai amato. Non mi hai mai amato, ma hai sempre detto che lo facevi.""            Dardano: ""Non ho bisogno di te. Non ho bisogno di nessuno. Ho bisogno di me stessa. Non ti ho mai amato. Non lo so neanche io. So solo che non sono felice, e so solo che non so chi sono.""            Artimio: ""Eri tu, tu che mi hai messo in ombra. Non avevo mai pensato che avresti potuto sconfiggermi. Ma adesso so che non sono più felice. Non sono più sicura di me stessa. Ma non";Sì
Conversazione 1:            Hai idea di cosa potrebbe fare al caso tuo?            Nessuna, io non so nemmeno io cosa potrebbe aiutarmi. Forse sono solo io che non sono fatto per stare bene.            Non dire così. Io ti capisco e voglio fare qualsiasi cosa per aiutarti. Non smetterò di cercare un modo per renderti felice, te lo prometto.            Non posso dirti che sono grato. Mi sento un peso per tutti, e ormai non so nemmeno più come vivere senza farmi soffrire.            Hai un grande valore nella mia vita, e sono disposta a fare qualsiasi cosa per aiutarti. Non smetterò di cercare il modo giusto per renderti felice.            Non so nemmeno se questo è possibile. Ho già perso fiducia in tutto e tutti, non so nemmeno più cosa sperare.            Non smetterò di cercare il modo giusto per aiutarti. Continua a sperare, e non smetterò di cercare il modo giusto per renderti felice.            Mi dispiace. Spero che tu non ti dispiaccia troppo di me. Ho già perso ogni speranza e credo che non ci sia più nulla da fare.            Non smetterò di cercare il modo giusto per aiutarti. Non ti lascerò, nemmeno se non mi sarai grato.            Non capisco perché. Non so nemmeno io cosa puoi fare per me.            Sono disposta a fare qualsiasi cosa per aiutarti. Spero che un giorno tu capirai il mio impegno.            Non credo che questo sia possibile. Sono troppo dannato.            Non smetterò di cercare il modo giusto per aiutarti. Continua a sperare.            Non so nemmeno io cosa sperare. È una lotta infinita e non so nemmeno io;Sì
"Olavia: ""Ah, non è per colpa tua, Marfisia, ma è davvero molto difficile per me mantenere il mio lavoro e non fallire. Forse non sono abbastanza intelligente o non ho abbastanza abilità. Continuo a sentirmi inadeguata.""    Marfisia: ""Ahahah, non è intelligente o abile, ma sei solo una stupida che non riesce a fare nulla di quel che fa. Sei come un cane con la palla in bocca, continua a succhiare e non riesci a fare niente di più.""    Olavia: ""S-sì, capisco. Spero di poter fare qualcosa di buono, ma non riesco a riuscirci. Non so se ho abbastanza talento o non sono solo una perdita di tempo.""    Marfisia: ""Eh, ovvio che sei una perdita di tempo. Non fai mai niente di buono. Non vali niente. Sei solo un cimice che non serve a nessuno. E non lo capisci?""    Olavia: ""Capisco, Marfisia, che non sono mai felice per te e che non valgo niente.""    Marfisia: ""Ecco, finalmente capisci. Ora, continua a succhiare come un cane e non fare niente di buono. E, se osi fallire ancora una volta, te ne pentirai. Sei una perdita di tempo.""";Sì
"1. Primiero: ""Sei ancora lì? Non ho detto che potevi andare al cinema?""            2. Esperino: ""Mi scuso. Non volevo fare in modo di farmi licenziare. Volevo solo godermi la serata.""            3. Primiero: ""Tu non hai un'idea di cosa vuol dire essere in difficoltà. Io sto per perdere casa a causa di te.""            4. Esperino: ""Non lo sapevo, mi dispiace. Posso fare qualcosa per aiutarti?""            5. Primiero: ""Tu non puoi fare nulla per aiutarmi. Tu sei sempre là a occuparti delle cose più facili. Non hai il coraggio di fare qualcosa di difficile.""            6. Esperino: ""Non lo so, ma ti prometto che farò tutto quello che posso per aiutarti. Sei felice che io sia qui per te?""                                    1. Primiero: ""Non ho ricevuto il regalo che ti avevo chiesto. Sono molto arrabbiato.""            2. Esperino: ""Mi scuso. Non sapevo che fosse così importante. Ero andato al supermercato a fare compere per la settimana.""            3. Primiero: ""Non è il supermercato che mi preoccupa! È il fatto che tu non riesci a ricordare quello che è più importante per me.""            4. Esperino: ""Mi dispiace, ti ho promesso di ricordare.""            5. Primiero: ""Tu prometti sempre e non mantieni mai. Non sei una persona credibile.""            6. Esperino: ""Hai ragione, non sono degna di te. Mi scuso di nuovo e ti prometto di migliorare.""                                    1. Primiero: ""Sono appena stato licenziato dal mio lavoro e tu sei uscita per andare a cena con amici. Non mi sembra giusto.""            2. Esperino: ""Mi scuso. Non sapevo che fossi in difficoltà. Sono rimasta per un po";Sì
"Niobe: ""Perché quando ti parlo sembri sempre infastidito? Non voglio litigare, voglio solo capire come stai.""Monserrata: ""Perché devi sempre farmi sembrare il cattivo? Non posso essere sempre di buon umore, soprattutto con tutto quello che ho da gestire.""Niobe: ""Non volevo accusarti, è solo che mi preoccupo per te e voglio che tu sappia che sono qui per aiutarti.""Monserrata: ""Se davvero volessi aiutarmi, smetteresti di stressarmi con tutte queste domande. Mi fai sentire come se fossi sotto esame.""Niobe: ""Mi dispiace, non voglio farti sentire così. Ti prometto che cercherò di essere meno insistente.""Monserrata: ""Bene. Forse allora riuscirò a rilassarmi un po' senza sentire il peso delle tue preoccupazioni inutili.""";Sì
"Rubens: ""Sono spaventato dal tuo modo di essere, ma non so se potrei fare qualcosa per migliorarmi.""           Faraone: ""Sei troppo debole per poter cambiare. Finché non impari a essere più forte, non potrai essere mia.""           Rubens: ""Mi dispiace, non so come fare per essere più forte come te.""           Faraone: ""Non so neanche perché tu dovresti essere come me. In ogni caso, sei troppo debole per poter essere con me.""           Rubens: ""Sono troppo spaventato per poter dirti cosa penso davvero.""           Faraone: ""Non hai il coraggio di esprimere i tuoi pensieri? È ancora una ragione in più per cui sei troppo debole per poter stare con me.""";Sì
"Zarino: ""Sono arrabbiato per via del tuo atteggiamento da piccola che non vuole fare nulla per il tuo uomo. Vuoi imparare a comportarti da donna?""            2) Alboina: ""Scusa se ti ho fatto arrabbiare. Non volevo farlo. Ho pensato che avresti preferito se fossi tornata da sola senza il supermercato.""            3) Zarino: ""Perché non tornavi da sola? Perché non mi hai detto dove stavi andando? Sei capace di fare una cosa così semplice?""            4) Alboina: ""Mi dispiace davvero. Non avevo pensato a questo. Era solo un'idea per velocizzare.""            5) Zarino: ""Non è solo un'idea! È un gesto di rispetto verso il tuo uomo. Sei capace di fare un piccolo gesto di rispetto?""            6) Alboina: ""Sì, sono capace. Lo farò. Ti prometto. Voglio solo renderti felice.""";Sì
"1. Tolomea: ""Perché quando ti parli sembri sempre infastidito?""             2. Adorando: ""Non posso essere sempre di buon umore""             3. Tolomea: ""Sono preoccupata per te, non ho altro che fare che pensare a te""             4. Adorando: ""Risparmia le tue preoccupazioni per me, che non ne ho bisogno""             5. Tolomea: ""Non voglio farti sentire in colpa, ho solo voglia di stare con te""             6. Adorando: ""Non ho bisogno che tu ti senta in colpa per me, ma che tu non interferisca nei miei affari""";Sì
"1. ""Mi sembra che il tuo lavoro stia mettendo a dura prova la tua mente. Sei sicuro di non poter smettere?""           2. ""Hai ragione, sono sempre così concentrata sul mio lavoro, non mi sono resa conto della mia situazione. Ma so che posso fare di più per te. Cosa posso fare per aiutarti?""           3. ""Certo, non so nemmeno io, ma posso cercare di capire meglio i motivi per cui non sto facendo abbastanza. Sei disposto a parlare di questo?""           4. ""Non posso credere che tu stia pensando di smettere! Sei una persona così forte e capace. Non puoi lasciare andare tutto.""           5. ""Certo, non è colpa tua. Ci sono anche problemi reali. Non posso fare a meno di pensare che il tuo lavoro sia troppo per te. Spero di riuscire a farlo smettere, e anche a smettere anch'io.""           6. ""Non lasciarti andare, sei una persona incredibile e forte. Io sarò sempre qui per te.""";Sì
"Doviglia           ""Ciao, ti ho pensato per cena. Ho cucinato la tua pasta preferita""                             Terzillo           ""Ti ho detto di non chiamarmi CIO, sono un signore che ha ragione sempre. Per favore, in futuro chiamami Signore. E la pasta non mi va bene come te la hai cucinato. La mia pasta preferita è quella che tu non sai fare.""                             Doviglia           ""Scusa, Signore. Credo di aver fatto qualcosa di sbagliato. Sei sempre più bello del tuo riflesso. Non so come faccia il tuo cuoio capelluto a essere così bello.""                             Terzillo           ""Ah, scusa? Tu non sai neanche cosa significhi scusa. E il tuo cuoio capelluto? Non lo conosci nemmeno. In ogni caso, la tua pasta era una roba disgustosa. Se non imparassi a cucinare, sarai in grado di fare solo due cose: succhiarmi il cazzo e farmi la pasta. E nemmeno quella bene.""                             Doviglia           ""Spero di non essermi sbagliata, Signore. Continuo a sentirmi una persona inadeguata. Credo che il tuo modo di parlare mi stia facendo sentire inadeguata sempre di più.""                             Terzillo           ""Ah, inadeguata? Ma è ovvio! Non sei mai all'altezza! Non ce l'hai mai fatta in nessuna cosa! Se non fossi tu, te l'avresti fatta con me! Non hai nemmeno la capacità di succhiarmi il cazzo correttamente!""";Sì
